Timestamp,Prediction 1,Prediction 2,Prediction 3,Alert
02:06:47,"shoe shop, shoe-shop, shoe store (22.5%)",neck brace (13.4%),potter's wheel (2.8%),SAFE
02:06:47,"shoe shop, shoe-shop, shoe store (25.0%)",neck brace (12.8%),potter's wheel (2.9%),SAFE
02:06:47,"shoe shop, shoe-shop, shoe store (27.0%)",neck brace (10.8%),"diaper, nappy, napkin (2.9%)",SAFE
02:06:48,"shoe shop, shoe-shop, shoe store (23.1%)",neck brace (10.6%),"diaper, nappy, napkin (3.6%)",SAFE
02:06:48,"shoe shop, shoe-shop, shoe store (29.3%)",neck brace (11.6%),potter's wheel (2.4%),SAFE
02:06:48,"shoe shop, shoe-shop, shoe store (30.5%)",neck brace (13.1%),"diaper, nappy, napkin (2.3%)",SAFE
02:06:49,"shoe shop, shoe-shop, shoe store (35.4%)",neck brace (9.2%),running shoe (2.8%),SAFE
02:06:49,"shoe shop, shoe-shop, shoe store (29.5%)",neck brace (7.8%),potter's wheel (2.6%),SAFE
02:06:49,"shoe shop, shoe-shop, shoe store (26.4%)",neck brace (7.5%),potter's wheel (3.9%),SAFE
02:06:49,"shoe shop, shoe-shop, shoe store (31.0%)",neck brace (5.2%),potter's wheel (4.3%),SAFE
02:06:50,"shoe shop, shoe-shop, shoe store (22.9%)",neck brace (9.5%),potter's wheel (3.9%),SAFE
02:06:50,"shoe shop, shoe-shop, shoe store (25.5%)",neck brace (9.3%),potter's wheel (5.9%),SAFE
02:06:50,"shoe shop, shoe-shop, shoe store (36.5%)",neck brace (7.7%),potter's wheel (3.1%),SAFE
02:06:50,"shoe shop, shoe-shop, shoe store (41.6%)",stretcher (5.7%),neck brace (4.5%),SAFE
02:06:51,"shoe shop, shoe-shop, shoe store (70.7%)",running shoe (3.0%),"clog, geta, patten, sabot (1.6%)",SAFE
02:06:51,"shoe shop, shoe-shop, shoe store (67.8%)",potter's wheel (3.3%),"clog, geta, patten, sabot (1.4%)",SAFE
02:06:51,"shoe shop, shoe-shop, shoe store (22.8%)",potter's wheel (17.9%),nipple (1.5%),SAFE
02:06:51,"shoe shop, shoe-shop, shoe store (31.5%)",potter's wheel (12.1%),sandal (1.4%),SAFE
02:06:52,potter's wheel (19.9%),"shoe shop, shoe-shop, shoe store (19.0%)",neck brace (2.6%),SAFE
02:06:52,potter's wheel (24.8%),"shoe shop, shoe-shop, shoe store (17.4%)",neck brace (1.6%),SAFE
02:06:52,potter's wheel (15.2%),"shoe shop, shoe-shop, shoe store (8.3%)",miniature poodle (2.6%),SAFE
02:06:52,potter's wheel (23.8%),"shoe shop, shoe-shop, shoe store (20.3%)",neck brace (4.0%),SAFE
02:06:53,"shoe shop, shoe-shop, shoe store (30.2%)",potter's wheel (11.1%),neck brace (4.7%),SAFE
02:06:53,potter's wheel (12.4%),"shoe shop, shoe-shop, shoe store (9.5%)","diaper, nappy, napkin (2.1%)",SAFE
02:06:53,potter's wheel (22.5%),"shoe shop, shoe-shop, shoe store (11.1%)",neck brace (2.2%),SAFE
02:06:54,potter's wheel (23.3%),"shoe shop, shoe-shop, shoe store (14.0%)",neck brace (2.1%),SAFE
02:06:54,"shoe shop, shoe-shop, shoe store (18.9%)",potter's wheel (10.0%),neck brace (7.8%),SAFE
02:06:54,neck brace (19.5%),"shoe shop, shoe-shop, shoe store (18.7%)",stretcher (3.2%),SAFE
02:06:55,neck brace (26.8%),"shoe shop, shoe-shop, shoe store (13.4%)",stretcher (3.4%),SAFE
02:06:55,neck brace (18.4%),"shoe shop, shoe-shop, shoe store (16.4%)",potter's wheel (3.7%),SAFE
02:06:55,"shoe shop, shoe-shop, shoe store (18.6%)",neck brace (11.8%),potter's wheel (4.8%),SAFE
02:06:55,"shoe shop, shoe-shop, shoe store (19.4%)",neck brace (10.5%),potter's wheel (8.2%),SAFE
02:06:56,neck brace (14.7%),"shoe shop, shoe-shop, shoe store (14.6%)",potter's wheel (8.3%),SAFE
02:06:56,neck brace (16.9%),"shoe shop, shoe-shop, shoe store (15.3%)",potter's wheel (6.1%),SAFE
02:06:56,"shoe shop, shoe-shop, shoe store (16.8%)",neck brace (15.8%),potter's wheel (4.7%),SAFE
02:06:56,"shoe shop, shoe-shop, shoe store (35.3%)",potter's wheel (3.7%),neck brace (2.9%),SAFE
02:06:57,"shoe shop, shoe-shop, shoe store (10.2%)","ice lolly, lolly, lollipop, popsicle (9.4%)",Band Aid (5.1%),SAFE
02:06:57,"ice lolly, lolly, lollipop, popsicle (21.3%)",whistle (11.9%),Band Aid (6.4%),SAFE
02:06:57,"ice lolly, lolly, lollipop, popsicle (17.4%)",whistle (11.3%),Band Aid (6.7%),SAFE
02:06:57,"shoe shop, shoe-shop, shoe store (20.5%)",potter's wheel (4.6%),neck brace (4.5%),SAFE
02:06:58,"shoe shop, shoe-shop, shoe store (30.1%)",potter's wheel (7.3%),"clog, geta, patten, sabot (2.5%)",SAFE
02:06:58,"shoe shop, shoe-shop, shoe store (29.7%)",potter's wheel (9.1%),neck brace (3.4%),SAFE
02:06:58,"shoe shop, shoe-shop, shoe store (32.3%)",potter's wheel (15.2%),sandal (3.0%),SAFE
02:06:59,"shoe shop, shoe-shop, shoe store (34.7%)",potter's wheel (24.8%),"clog, geta, patten, sabot (1.7%)",SAFE
02:06:59,"shoe shop, shoe-shop, shoe store (64.3%)",potter's wheel (15.8%),"clog, geta, patten, sabot (4.3%)",SAFE
02:06:59,"shoe shop, shoe-shop, shoe store (39.6%)",potter's wheel (11.6%),"clog, geta, patten, sabot (4.1%)",SAFE
02:06:59,"shoe shop, shoe-shop, shoe store (39.5%)",potter's wheel (4.9%),"clog, geta, patten, sabot (4.0%)",SAFE
02:07:00,"shoe shop, shoe-shop, shoe store (22.4%)",potter's wheel (8.0%),neck brace (5.4%),SAFE
02:07:00,"shoe shop, shoe-shop, shoe store (23.8%)",neck brace (5.6%),potter's wheel (4.9%),SAFE
02:07:00,"shoe shop, shoe-shop, shoe store (31.9%)","clog, geta, patten, sabot (4.3%)",potter's wheel (3.8%),SAFE
02:07:00,"shoe shop, shoe-shop, shoe store (40.0%)","clog, geta, patten, sabot (4.8%)",potter's wheel (4.5%),SAFE
02:07:01,"shoe shop, shoe-shop, shoe store (31.7%)",potter's wheel (5.7%),"clog, geta, patten, sabot (4.9%)",SAFE
02:07:01,"shoe shop, shoe-shop, shoe store (47.5%)","clog, geta, patten, sabot (5.6%)",sandal (3.4%),SAFE
02:07:01,"shoe shop, shoe-shop, shoe store (20.2%)",potter's wheel (7.5%),neck brace (4.0%),SAFE
02:07:01,"shoe shop, shoe-shop, shoe store (12.3%)",potter's wheel (5.8%),neck brace (4.4%),SAFE
02:07:02,"shoe shop, shoe-shop, shoe store (11.7%)",neck brace (5.1%),drumstick (4.7%),SAFE
02:07:02,"shoe shop, shoe-shop, shoe store (20.3%)",neck brace (5.4%),potter's wheel (5.3%),SAFE
02:07:02,"shoe shop, shoe-shop, shoe store (7.9%)",potter's wheel (5.7%),neck brace (4.7%),SAFE
02:07:03,neck brace (6.8%),stretcher (4.1%),"shoe shop, shoe-shop, shoe store (4.1%)",SAFE
