Time,Detected Labels,Status,Snapshot
20:42:15,"drumstick (9.5%); potter's wheel (6.7%); drum, membranophone, tympan (5.4%)",SAFE,N/A
20:42:15,"potter's wheel (11.3%); drumstick (7.4%); drum, membranophone, tympan (5.6%)",SAFE,N/A
20:42:15,"potter's wheel (10.2%); drumstick (9.1%); drum, membranophone, tympan (7.1%)",SAFE,N/A
20:42:15,"potter's wheel (8.6%); drumstick (7.5%); drum, membranophone, tympan (6.4%)",SAFE,N/A
20:42:16,"potter's wheel (14.4%); drumstick (7.0%); drum, membranophone, tympan (6.7%)",SAFE,N/A
20:42:16,"potter's wheel (15.8%); drumstick (6.6%); drum, membranophone, tympan (6.4%)",SAFE,N/A
20:42:16,"potter's wheel (13.0%); drumstick (7.3%); drum, membranophone, tympan (6.9%)",SAFE,N/A
20:42:16,"potter's wheel (10.8%); drumstick (7.6%); drum, membranophone, tympan (6.9%)",SAFE,N/A
20:42:17,"potter's wheel (9.4%); drumstick (7.0%); drum, membranophone, tympan (5.8%)",SAFE,N/A
20:42:17,"drumstick (6.1%); drum, membranophone, tympan (5.0%); potter's wheel (4.3%)",SAFE,N/A
20:42:17,"cleaver, meat cleaver, chopper (45.1%); Injection (11.8%); letter opener, paper knife, paperknife (3.6%)",SAFE,N/A
20:42:17,"cleaver, meat cleaver, chopper (58.1%); scabbard (3.7%); letter opener, paper knife, paperknife (2.8%)",SAFE,N/A
20:42:18,"cleaver, meat cleaver, chopper (76.0%); scabbard (2.6%); letter opener, paper knife, paperknife (2.1%)",SAFE,N/A
20:42:18,"cleaver, meat cleaver, chopper (72.1%); scabbard (2.6%); letter opener, paper knife, paperknife (2.2%)",SAFE,N/A
20:42:18,"cleaver, meat cleaver, chopper (74.7%); scabbard (2.0%); letter opener, paper knife, paperknife (1.6%)",SAFE,N/A
20:42:18,"cleaver, meat cleaver, chopper (74.5%); scabbard (2.3%); letter opener, paper knife, paperknife (1.7%)",SAFE,N/A
20:42:19,"cleaver, meat cleaver, chopper (73.7%); scabbard (2.9%); letter opener, paper knife, paperknife (2.2%)",SAFE,N/A
20:42:19,"cleaver, meat cleaver, chopper (72.0%); letter opener, paper knife, paperknife (3.2%); scabbard (3.1%)",SAFE,N/A
20:42:19,"cleaver, meat cleaver, chopper (70.2%); letter opener, paper knife, paperknife (3.5%); scabbard (3.2%)",SAFE,N/A
20:42:19,"cleaver, meat cleaver, chopper (69.9%); scabbard (3.7%); letter opener, paper knife, paperknife (3.1%)",SAFE,N/A
20:42:20,"cleaver, meat cleaver, chopper (70.0%); letter opener, paper knife, paperknife (3.5%); scabbard (2.9%)",SAFE,N/A
20:42:20,"cleaver, meat cleaver, chopper (69.3%); letter opener, paper knife, paperknife (3.4%); scabbard (2.9%)",SAFE,N/A
20:42:20,"cleaver, meat cleaver, chopper (65.5%); letter opener, paper knife, paperknife (3.8%); scabbard (3.0%)",SAFE,N/A
20:42:20,"cleaver, meat cleaver, chopper (64.2%); letter opener, paper knife, paperknife (3.4%); scabbard (3.1%)",SAFE,N/A
20:42:21,"cleaver, meat cleaver, chopper (62.8%); letter opener, paper knife, paperknife (3.2%); scabbard (2.6%)",SAFE,N/A
20:42:21,"cleaver, meat cleaver, chopper (43.4%); scabbard (5.7%); letter opener, paper knife, paperknife (5.2%)",SAFE,N/A
20:42:21,"cleaver, meat cleaver, chopper (41.4%); scabbard (4.8%); drumstick (4.6%)",SAFE,N/A
20:42:21,"cleaver, meat cleaver, chopper (23.0%); drumstick (6.4%); scabbard (6.1%)",SAFE,N/A
20:42:21,"cleaver, meat cleaver, chopper (18.6%); drumstick (7.2%); scabbard (4.6%)",SAFE,N/A
20:42:22,"cleaver, meat cleaver, chopper (16.6%); drumstick (9.8%); Injection (4.8%)",SAFE,N/A
20:42:22,"cleaver, meat cleaver, chopper (16.1%); drumstick (7.8%); scabbard (5.2%)",SAFE,N/A
20:42:22,"cleaver, meat cleaver, chopper (19.2%); drumstick (5.4%); scabbard (4.8%)",SAFE,N/A
